operator_id,missed_calls,total_incoming,avg_waiting,total_outgoing,missed_rate,ineficaz
917378.0,0.0,3.0,12.666666666666666,14.0,0.0,True
917446.0,0.0,,,15.0,,True
917680.0,0.0,2.0,100.0,43.0,0.0,True
917682.0,0.0,,,7.0,,True
917846.0,0.0,3.0,12.5,41.0,0.0,True
917850.0,1.0,186.0,60.53846153846154,171.0,0.005376344086021506,True
917852.0,1.0,428.0,152.0188679245283,1114.0,0.002336448598130841,True
917856.0,0.0,3.0,16.5,78.0,0.0,True
917858.0,0.0,1.0,14.0,4.0,0.0,True
917876.0,0.0,9.0,15.625,2.0,0.0,True
917890.0,0.0,,,2.0,,True
918390.0,0.0,,,262.0,,True
918436.0,1.0,40.0,32.0,865.0,0.025,True
918452.0,0.0,,,327.0,,True
918888.0,1.0,8.0,9.375,3.0,0.125,True
918956.0,0.0,2.0,34.5,17.0,0.0,True
918958.0,0.0,2.0,37.0,8.0,0.0,True
918978.0,4.0,769.0,168.88888888888889,1360.0,0.005201560468140442,True
918986.0,0.0,713.0,136.88235294117646,1623.0,0.0,True
918988.0,0.0,1.0,13.0,1.0,0.0,True
919126.0,0.0,,,291.0,,True
919128.0,0.0,,,388.0,,True
919162.0,0.0,,,2933.0,,False
919164.0,3.0,722.0,298.73333333333335,11.0,0.004155124653739612,True
919166.0,5.0,1209.0,398.6470588235294,21.0,0.0041356492969396195,True
919188.0,0.0,,,864.0,,False
919190.0,0.0,2.0,11.0,83.0,0.0,True
919192.0,0.0,,,2233.0,,False
919194.0,0.0,,,1565.0,,False
919196.0,0.0,,,2896.0,,False
919198.0,0.0,,,1113.0,,False
919200.0,0.0,,,1297.0,,False
919202.0,0.0,,,2853.0,,False
919204.0,5.0,1309.0,579.2777777777778,9.0,0.0038197097020626434,True
919206.0,9.0,999.0,360.90909090909093,1.0,0.009009009009009009,True
919214.0,0.0,21.0,51.81818181818182,1.0,0.0,True
919218.0,1.0,21.0,28.3,304.0,0.047619047619047616,True
919302.0,0.0,,,2528.0,,False
919306.0,0.0,,,1664.0,,False
919310.0,0.0,,,2569.0,,False
919314.0,0.0,,,2794.0,,False
919318.0,0.0,,,1846.0,,False
919362.0,0.0,,,2546.0,,False
919364.0,0.0,,,5096.0,,False
